callsign,id,time,gps_lat,gps_lng,gps_alt,temperature,satellites,pressure,speed,baro_alt,rotator_lat,rotator_lng,rotator_alt,rssi,snr
rtu_vip_bfc,1,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,2,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,3,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,4,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,5,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,6,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,7,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,8,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,11,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,12,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,13,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,14,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,15,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,16,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,17,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,18,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,19,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,20,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,21,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,22,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,23,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,24,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,25,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,27,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,28,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,29,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,30,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,31,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,32,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,33,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,34,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,35,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,36,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,37,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,38,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,39,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,40,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,41,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,42,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,43,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,44,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,45,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,46,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,47,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,48,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,1,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,2,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,3,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,4,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,5,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,6,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,8,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,9,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
rtu_vip_bfc,10,18:04:43,55.123456,24.987654,123.45,25.67,10,123000,10.5,123.45,15.123456,14.987654,20.52,-50,-2
